level,approach,event_count,complete_30m_event_count,median_touch_close_response_points,average_favorable_30m_points,median_favorable_30m_points,average_adverse_30m_points,median_adverse_30m_points,dominant_30m_reaction_rate_pct,favorable_5pt_within_30m_rate_pct,favorable_10pt_within_30m_rate_pct,favorable_20pt_within_30m_rate_pct,median_close_move_30m_points,complete_60m_event_count,median_favorable_60m_points,median_adverse_60m_points,median_close_move_60m_points
6350,from_above,2,2,3.43,11.99,11.99,5.59,5.59,50,100,50,0,-2.42,2,11.99,18.09,-15.28
6350,from_below,2,1,2.92,11.79,11.79,5.79,5.79,100,100,100,0,10.72,1,33.09,5.79,31.75
6400,from_above,7,7,0.09,3.11,3.13,21.35,20.76,0,28.6,0,0,-13.77,7,3.13,23.86,-22.18
6400,from_below,3,3,0.43,21.13,20.76,6.67,8.47,100,100,100,66.7,12.97,3,23.86,8.47,16.35
6450,from_above,1,1,-19.52,0,0,39.37,39.37,0,0,0,0,-31.05,1,0,39.37,-29.21
6450,from_below,6,6,2.78,25.89,27.76,23.18,2.03,66.7,83.3,66.7,50,11.98,6,40.87,2.03,17.27
6500,from_above,11,11,0.6,8.22,8.08,13.31,12.53,27.3,72.7,27.3,0,-3.61,8,9.7,11.6,5.01
6500,from_below,22,21,3.17,14.16,13,8.24,8.59,85.7,90.5,66.7,23.8,-0.6,19,13,9.09,0.12
6550,from_above,28,27,1.08,17.51,14.26,7.59,5.27,70.4,92.6,66.7,37,9.16,27,15.59,10.3,11.32
6550,from_below,19,19,1.51,8.96,8.26,12.15,10.73,47.4,73.7,36.8,5.3,-0.15,19,11.55,15.08,-2.19
6600,from_above,43,39,1.52,10.31,8.24,9,4.55,53.8,69.2,33.3,12.8,3.48,37,9.67,7,2.48
6600,from_below,45,44,2.59,13.47,12.59,8.07,6,59.1,72.7,59.1,20.5,0.62,42,13.48,8.18,-0.15
6650,from_above,20,20,-0.13,11.44,9.32,12.84,13.96,60,70,40,25,-3.94,18,11.47,13.96,-0.03
6650,from_below,14,14,0.1,13.08,11.16,9.33,8.06,42.9,92.9,50,21.4,2.92,12,16.72,10.28,7.28
6700,from_above,29,29,1.01,12.64,13.29,10.77,8.49,55.2,75.9,62.1,20.7,0.27,28,15.44,11.94,-3.04
6700,from_below,39,37,1.82,12.51,10.4,7.84,7.72,59.5,73,54.1,10.8,4.11,37,16.12,7.72,2.05
6750,from_above,28,28,2.49,14.24,15.27,9.33,6.31,67.9,85.7,78.6,25,5.87,26,22.59,2.89,12.32
6750,from_below,15,15,2.53,14.35,6.52,17.74,21.73,40,60,46.7,33.3,-6.7,14,8.81,23.18,-3.13
6800,from_above,18,17,-1.1,18.78,14.42,11.37,9.98,58.8,76.5,58.8,35.3,-0.27,14,18.99,16.67,10.19
6800,from_below,33,29,1.61,15.08,18.42,16.06,14.41,55.2,69,58.6,37.9,3.08,26,17.93,26.31,-17.2
6850,from_above,61,61,2.05,16.49,15,9.39,7.55,73.8,86.9,68.9,36.1,5.85,57,20.43,7.55,11.17
6850,from_below,54,52,0.07,9.48,6.61,13.93,11.64,42.3,59.6,30.8,11.5,-5.08,49,8.05,20.43,-11.5
6900,from_above,43,40,1.64,8.7,6.89,12.3,6.28,57.5,72.5,25,7.5,0.07,39,8.11,8.22,-3.66
6900,from_below,44,43,1.77,13.65,10.46,7.56,6.69,69.8,72.1,51.2,27.9,0.49,38,15.77,7.85,3.91
6950,from_above,21,19,0.02,6.98,6.45,11.25,8.87,42.1,57.9,21.1,5.3,-2.87,17,7.3,15.04,-2.07
6950,from_below,33,29,1.67,9.88,8.32,5.71,5.34,69,72.4,41.4,13.8,-0.83,27,11.11,10.08,1.5
7000,from_below,11,11,1.86,8.16,7.45,2.71,1.92,72.7,72.7,18.2,9.1,2.1,11,7.79,1.92,-0.31
7050,from_above,2,1,6.09,56.15,56.15,0,0,100,100,100,100,55.13,1,68.46,0,54.68
7050,from_below,2,2,1.56,23.48,23.48,1.23,1.23,100,100,100,100,14.61,2,24.62,1.23,23.1
7100,from_above,21,15,1.98,7.52,6.01,8.04,4.52,66.7,66.7,20,0,1.79,13,9.98,8.23,4.12
7100,from_below,16,15,1.96,14.05,6.67,9.69,7.36,53.3,66.7,46.7,13.3,0.79,13,8.23,18.46,-1.79
7150,from_above,12,12,3.51,10.98,10.7,4.71,1.58,83.3,83.3,50,0,7.21,12,15.23,1.58,9.57
7150,from_below,6,6,0.91,11.98,16.61,9.35,9.7,50,66.7,66.7,16.7,1.19,6,19.8,9.7,0.15
7200,from_above,12,10,1.15,6.58,5.88,10.61,7.15,50,80,20,0,-3.41,8,6.62,25.88,-4.65
7200,from_below,13,12,2.55,7.21,5.96,3.9,4.82,58.3,58.3,33.3,0,-2.08,11,6.15,8.7,-4.02
7250,from_above,14,14,1.06,14.71,7.29,6.9,5.51,71.4,85.7,21.4,14.3,2.22,14,11.78,6.87,5.41
7250,from_below,15,15,2.31,6.46,7.92,13.81,9.54,26.7,66.7,6.7,0,-5.98,14,8.22,9.92,-2.68
7300,from_above,14,14,0.76,14.53,11.85,21.88,18.65,35.7,64.3,57.1,21.4,-11.61,14,13.5,33.83,-10.93
7300,from_below,18,18,2.42,18.62,17.34,21.74,14.29,44.4,83.3,77.8,27.8,-4.11,18,19.52,21.1,2
7350,from_above,68,63,1.09,18.64,15.73,9.13,8.25,69.8,93.7,61.9,36.5,7.48,54,24.54,8.25,11.76
7350,from_below,45,38,1.06,9.64,8.13,13.22,7.9,50,68.4,39.5,7.9,-1.46,37,10.08,16.01,-4.76
7400,from_above,75,62,1.81,15.72,11.6,13.67,7.91,61.3,83.9,53.2,29,4.26,60,15.66,10.52,7.85
7400,from_below,67,58,0.85,12.55,7.98,11.92,9.6,50,72.4,37.9,19,-0.54,53,10.52,15.53,-3.6
7450,from_above,50,45,1.16,9.21,7.11,15.44,9.46,33.3,68.9,31.1,6.7,-3.39,37,8.52,18,-8.19
7450,from_below,54,53,1.79,12.44,8.52,11.13,8.52,43.4,75.5,35.8,20.8,-3.06,49,15.98,10.04,3.43
7500,from_above,69,61,1.69,9.02,7.66,9.32,4.9,50.8,60.7,41,9.8,1.21,54,11.81,8.12,1.11
7500,from_below,59,56,1.42,11.96,8.45,6.82,5.14,62.5,66.1,41.1,23.2,3.56,53,12.77,8.06,2.53
7550,from_above,44,43,1.87,8.4,8.03,12.24,10.26,37.2,62.8,37.2,2.3,-0.91,43,8.57,16.97,-2.34
7550,from_below,58,55,1.99,9.44,7.54,5.27,4.66,70.9,76.4,41.8,0,1.08,50,13.91,6.76,0.24
7600,from_above,4,3,0.67,12.49,18.39,12.52,0,66.7,66.7,66.7,0,16.72,3,20.9,0,13.95
7600,from_below,6,6,0.25,8.76,5.95,9.5,10.85,50,50,33.3,16.7,-8.43,5,4.46,17.66,-15.08
