touch_observation_id,timestamp_et,session_date_et,session_time_et,level,zone_low,zone_high,approach,consecutive_touch,previous_close,touch_open,touch_high,touch_low,touch_close,touch_close_response_points,full_5m_window,upside_5m_points,downside_5m_points,close_relative_5m_points,favorable_5m_points,adverse_5m_points,close_move_5m_points,full_15m_window,upside_15m_points,downside_15m_points,close_relative_15m_points,favorable_15m_points,adverse_15m_points,close_move_15m_points,full_30m_window,upside_30m_points,downside_30m_points,close_relative_30m_points,favorable_30m_points,adverse_30m_points,close_move_30m_points,dominant_30m_reaction,heavy_10pt_30m_reaction,full_60m_window,upside_60m_points,downside_60m_points,close_relative_60m_points,favorable_60m_points,adverse_60m_points,close_move_60m_points
1,2026-02-02 09:40:00,2026-02-02,09:40:00,6950,6948,6952,from_below,false,6940.27,6940.52,6950.33,6937.14,6948.27,1.73,true,1.26,4.24,-0.01,4.24,1.26,0.01,true,10.31,5.14,-0.71,5.14,10.31,0.71,true,25.23,5.14,24.71,5.14,25.23,-24.71,false,false,true,30.82,5.14,24.08,5.14,30.82,-24.08
2,2026-02-02 09:45:00,2026-02-02,09:45:00,6950,6948,6952,continuation_in_zone,true,6948.27,6948.54,6951.26,6945.76,6949.99,,true,10.31,0.01,6.41,,,,true,10.31,5.14,9.45,,,,true,28.58,5.14,28.06,,,,,,true,30.82,5.14,20.18,,,
3,2026-02-02 09:50:00,2026-02-02,09:50:00,6950,6948,6952,continuation_in_zone,true,6949.99,6950.28,6960.31,6950.28,6956.41,,true,8.08,5.14,-0.71,,,,true,18.6,5.14,18.18,,,,true,29.6,5.14,25.21,,,,,,true,30.82,5.14,22.82,,,
4,2026-02-02 09:55:00,2026-02-02,09:55:00,6950,6948,6952,from_above,true,6956.41,6956.38,6958.08,6944.86,6949.29,-0.71,true,9.46,3.3,9.45,9.46,3.3,9.45,true,25.23,3.3,24.71,25.23,3.3,24.71,true,29.6,3.3,20.37,29.6,3.3,20.37,true,true,true,30.82,3.3,19.78,30.82,3.3,19.78
5,2026-02-02 10:00:00,2026-02-02,10:00:00,6950,6948,6952,continuation_in_zone,true,6949.29,6948.76,6959.46,6946.7,6959.45,,true,18.6,0,18.18,,,,true,28.58,0,28.06,,,,true,29.6,0,24.07,,,,,,true,30.82,0,15.07,,,
6,2026-02-03 10:00:00,2026-02-03,10:00:00,6950,6948,6952,from_above,false,6955.95,6955.91,6958.33,6943.03,6951.22,1.22,true,4.86,7.94,1.25,4.86,7.94,1.25,true,4.86,11.76,-4.23,4.86,11.76,-4.23,true,4.86,19.35,-11.22,4.86,19.35,-11.22,false,false,true,6.88,19.35,-4.96,6.88,19.35,-4.96
7,2026-02-03 10:05:00,2026-02-03,10:05:00,6950,6948,6952,continuation_in_zone,true,6951.22,6950.69,6954.86,6942.06,6951.25,,true,2.04,11.76,-8.91,,,,true,2.04,18.7,-18.51,,,,true,2.04,19.35,-7.78,,,,,,true,6.88,19.35,-6.44,,,
8,2026-02-03 10:10:00,2026-02-03,10:10:00,6950,6948,6952,continuation_in_zone,true,6951.25,6951.59,6952.04,6938.24,6941.09,,true,0,9.79,-4.23,,,,true,0.71,19.35,-5.83,,,,true,0.71,19.35,-14.26,,,,,,true,6.88,19.35,-7.38,,,
9,2026-02-03 10:15:00,2026-02-03,10:15:00,6950,6948,6952,from_below,true,6941.09,6941.36,6949.62,6940.21,6945.77,4.23,true,0.71,18.7,-18.51,18.7,0.71,18.51,true,0.71,19.35,-11.22,19.35,0.71,11.22,true,0.71,19.35,-0.98,19.35,0.71,0.98,true,true,true,6.88,19.35,-9.07,19.35,6.88,9.07
10,2026-02-03 10:20:00,2026-02-03,10:20:00,6950,6948,6952,from_below,true,6945.77,6945.75,6950.71,6931.3,6931.49,18.51,true,0,19.35,-5.83,19.35,0,5.83,true,0,19.35,-7.78,19.35,0,7.78,true,4.6,19.35,1.43,19.35,4.6,-1.43,true,true,true,6.88,19.56,-18.82,19.56,6.88,18.82
11,2026-02-03 10:45:00,2026-02-03,10:45:00,6950,6948,6952,from_below,false,6935.74,6935.54,6949.02,6931.56,6949.02,0.98,true,4.6,7.16,1.43,7.16,4.6,-1.43,true,6.88,7.16,-4.96,7.16,6.88,4.96,true,6.88,10.42,-9.07,10.42,6.88,9.07,true,true,true,6.88,23.12,-17.26,23.12,6.88,17.26
12,2026-02-03 10:50:00,2026-02-03,10:50:00,6950,6948,6952,continuation_in_zone,true,6949.02,6949.28,6954.6,6942.84,6951.43,,true,6.88,0,3.46,,,,true,6.88,6.5,-6.44,,,,true,6.88,19.56,-18.82,,,,,,true,6.88,25.24,-20.45,,,
13,2026-02-03 10:55:00,2026-02-03,10:55:00,6950,6948,6952,continuation_in_zone,true,6951.43,6951.13,6956.88,6950.93,6953.46,,true,3.64,5.08,-4.96,,,,true,3.64,9.17,-7.38,,,,true,3.64,20.53,-20.06,,,,,,true,3.64,25.24,-21.96,,,
14,2026-02-03 11:00:00,2026-02-03,11:00:00,6950,6948,6952,from_above,true,6953.46,6953.39,6953.64,6944.92,6945.04,-4.96,true,0,6.5,-6.44,0,6.5,-6.44,true,0,10.42,-9.07,0,10.42,-9.07,true,0,23.12,-16.8,0,23.12,-16.8,false,false,true,0,25.24,-23.18,0,25.24,-23.18
15,2026-02-03 11:05:00,2026-02-03,11:05:00,6950,6948,6952,from_below,true,6945.04,6944.98,6948.51,6943.5,6943.56,6.44,true,0,9.17,-7.38,9.17,0,7.38,true,0,19.56,-18.82,19.56,0,18.82,true,0,23.12,-19.45,23.12,0,19.45,true,true,true,0,27.8,-22.89,27.8,0,22.89
16,2026-02-03 11:10:00,2026-02-03,11:10:00,6950,6948,6952,from_below,true,6943.56,6943.73,6948.55,6940.83,6942.62,7.38,true,0,10.42,-9.07,10.42,0,9.07,true,0,20.53,-20.06,20.53,0,20.06,true,0,23.12,-18.15,23.12,0,18.15,true,true,true,0,40.9,-36.46,40.9,0,36.46
17,2026-02-03 12:35:00,2026-02-03,12:35:00,6900,6898,6902,from_above,false,6903.56,6903.32,6905.63,6901.18,6902.35,2.35,true,2.48,4.27,-2.1,2.48,4.27,-2.1,true,8.96,4.27,0.21,8.96,4.27,0.21,true,8.96,4.27,1.53,8.96,4.27,1.53,true,false,true,8.96,21.15,-14.45,8.96,21.15,-14.45
18,2026-02-03 12:40:00,2026-02-03,12:40:00,6900,6898,6902,from_above,true,6902.35,6902.48,6902.48,6895.73,6897.9,-2.1,true,4.32,3.88,2.79,4.32,3.88,2.79,true,8.96,3.88,-1.69,8.96,3.88,-1.69,true,8.96,13.85,-10.86,8.96,13.85,-10.86,false,false,true,8.96,21.15,-20.34,8.96,21.15,-20.34
19,2026-02-03 12:45:00,2026-02-03,12:45:00,6900,6898,6902,from_below,true,6897.9,6897.97,6904.32,6896.12,6902.79,-2.79,true,8.96,3.05,0.21,3.05,8.96,-0.21,true,8.96,3.69,-3.54,3.69,8.96,3.54,true,8.96,13.85,-6.13,13.85,8.96,6.13,true,true,true,8.96,24.27,-21.2,24.27,8.96,21.2
20,2026-02-03 12:50:00,2026-02-03,12:50:00,6900,6898,6902,from_above,true,6902.79,6902.61,6908.96,6896.95,6900.21,0.21,true,2.38,1.81,-1.69,2.38,1.81,-1.69,true,6.67,4.19,1.53,6.67,4.19,1.53,true,6.67,13.85,-11.13,6.67,13.85,-11.13,false,false,true,6.67,24.65,-24.26,6.67,24.65,-24.26
21,2026-02-03 12:55:00,2026-02-03,12:55:00,6900,6898,6902,continuation_in_zone,true,6900.21,6900.51,6902.38,6898.19,6898.31,,true,1.85,3.69,-3.54,,,,true,6.67,13.85,-10.86,,,,true,6.67,15.86,-14.45,,,,,,true,6.67,30.1,-30.02,,,
22,2026-02-03 13:00:00,2026-02-03,13:00:00,6900,6898,6902,continuation_in_zone,true,6898.31,6898.64,6901.85,6896.31,6896.46,,true,6.67,4.19,1.53,,,,true,6.67,13.85,-6.13,,,,true,6.67,21.15,-18.06,,,,,,true,6.67,34.7,-33.22,,,
23,2026-02-03 13:05:00,2026-02-03,13:05:00,6900,6898,6902,from_below,true,6896.46,6896.57,6906.67,6895.81,6901.53,-1.53,true,1.64,13.85,-10.86,13.85,1.64,10.86,true,1.64,13.85,-11.13,13.85,1.64,11.13,true,1.64,21.15,-14.45,21.15,1.64,14.45,true,true,true,1.64,37.95,-36.16,37.95,1.64,36.16
24,2026-02-03 13:10:00,2026-02-03,13:10:00,6900,6898,6902,continuation_in_zone,true,6901.53,6901.64,6901.64,6886.15,6889.14,,true,0,12.57,-6.13,,,,true,0,15.86,-14.45,,,,true,0,21.15,-20.34,,,,,,true,0,37.95,-14.02,,,
25,2026-02-03 15:25:00,2026-02-03,15:25:00,6900,6898,6902,from_below,false,6896.23,6896.42,6899.49,6896.37,6897.48,2.52,true,10.45,2.64,10.07,2.64,10.45,-10.07,true,13.55,2.64,7.19,2.64,13.55,-7.19,true,19.55,2.64,19.55,2.64,19.55,-19.55,false,false,false,19.55,2.64,,2.64,19.55,
26,2026-02-03 15:30:00,2026-02-03,15:30:00,6900,6898,6902,from_below,true,6897.48,6897.36,6910.45,6897.36,6910.07,-10.07,true,13.55,0,12.78,0,13.55,-12.78,true,13.55,0,9.75,0,13.55,-9.75,true,19.55,0,17.82,0,19.55,-17.82,false,false,false,19.55,0,,0,19.55,
27,2026-02-04 09:55:00,2026-02-04,09:55:00,6900,6898,6902,from_above,false,6923.89,6924.13,6924.87,6899.69,6902.28,2.28,true,2.78,13.91,-6.03,2.78,13.91,-6.03,true,16.89,13.91,11.33,16.89,13.91,11.33,true,30.01,13.91,21.17,30.01,13.91,21.17,true,true,true,30.01,13.91,6.47,30.01,13.91,6.47
