event_id,timestamp_et,session_date_et,session_time_et,level,zone_low,zone_high,approach,previous_close,touch_open,touch_high,touch_low,touch_close,touch_close_response_points,full_5m_window,favorable_5m_points,adverse_5m_points,close_move_5m_points,full_15m_window,favorable_15m_points,adverse_15m_points,close_move_15m_points,full_30m_window,favorable_30m_points,adverse_30m_points,close_move_30m_points,dominant_30m_reaction,heavy_10pt_30m_reaction,full_60m_window,favorable_60m_points,adverse_60m_points,close_move_60m_points
1,2026-02-02 09:40:00,2026-02-02,09:40:00,6950,6948,6952,from_below,6940.27,6940.52,6950.33,6937.14,6948.27,1.73,true,4.24,1.26,0.01,true,5.14,10.31,0.71,true,5.14,25.23,-24.71,false,false,true,5.14,30.82,-24.08
2,2026-02-03 10:00:00,2026-02-03,10:00:00,6950,6948,6952,from_above,6955.95,6955.91,6958.33,6943.03,6951.22,1.22,true,4.86,7.94,1.25,true,4.86,11.76,-4.23,true,4.86,19.35,-11.22,false,false,true,6.88,19.35,-4.96
3,2026-02-03 10:45:00,2026-02-03,10:45:00,6950,6948,6952,from_below,6935.74,6935.54,6949.02,6931.56,6949.02,0.98,true,7.16,4.6,-1.43,true,7.16,6.88,4.96,true,10.42,6.88,9.07,true,true,true,23.12,6.88,17.26
4,2026-02-03 12:35:00,2026-02-03,12:35:00,6900,6898,6902,from_above,6903.56,6903.32,6905.63,6901.18,6902.35,2.35,true,2.48,4.27,-2.1,true,8.96,4.27,0.21,true,8.96,4.27,1.53,true,false,true,8.96,21.15,-14.45
5,2026-02-03 15:25:00,2026-02-03,15:25:00,6900,6898,6902,from_below,6896.23,6896.42,6899.49,6896.37,6897.48,2.52,true,2.64,10.45,-10.07,true,2.64,13.55,-7.19,true,2.64,19.55,-19.55,false,false,false,2.64,19.55,
6,2026-02-04 09:55:00,2026-02-04,09:55:00,6900,6898,6902,from_above,6923.89,6924.13,6924.87,6899.69,6902.28,2.28,true,2.78,13.91,-6.03,true,16.89,13.91,11.33,true,30.01,13.91,21.17,true,true,true,30.01,13.91,6.47
7,2026-02-04 10:35:00,2026-02-04,10:35:00,6900,6898,6902,from_above,6905.16,6905.41,6922.44,6895.31,6911.52,11.52,true,24.71,0,17.35,true,24.71,0,9.96,true,24.71,12.79,-11.28,true,true,true,24.71,14.22,-10.28
8,2026-02-04 11:00:00,2026-02-04,11:00:00,6900,6898,6902,from_above,6906.47,6907.58,6909.98,6891.78,6891.78,-8.22,true,0,12.79,-11.28,true,4.59,12.79,-11.06,true,5.99,14.22,-6.72,false,false,true,5.99,35.17,-10.39
9,2026-02-04 11:10:00,2026-02-04,11:10:00,6900,6898,6902,from_below,6888.72,6889.26,6904.59,6887.57,6900.77,-0.77,true,12.6,3.76,11.06,true,14.22,5.99,-5.37,true,24.77,5.99,24.49,true,true,true,35.17,5.99,11.11
10,2026-02-04 12:35:00,2026-02-04,12:35:00,6850,6848,6852,from_above,6857.94,6857.97,6857.97,6845.78,6845.97,-4.03,true,2.43,8.35,1.99,true,3.48,11.2,2.01,true,11.32,11.2,-4.54,true,true,true,21.44,11.2,11.17
