level,approach,event_count,complete_30m_event_count,median_touch_close_response_points,average_favorable_30m_points,median_favorable_30m_points,average_adverse_30m_points,median_adverse_30m_points,dominant_30m_reaction_rate_pct,favorable_5pt_within_30m_rate_pct,favorable_10pt_within_30m_rate_pct,favorable_20pt_within_30m_rate_pct,median_close_move_30m_points,complete_60m_event_count,median_favorable_60m_points,median_adverse_60m_points,median_close_move_60m_points
6350,from_above,2,2,3.43,11.99,11.99,5.59,5.59,50,100,50,0,-2.42,2,11.99,18.09,-15.28
6350,from_below,1,0,5.78,,,,,,,,,,0,,,
6400,from_above,2,2,1.61,1.63,1.63,21.06,21.06,0,0,0,0,-13.37,2,1.63,26.49,-18.03
6400,from_below,2,2,0.25,17.14,17.14,10.01,10.01,100,100,100,50,12.08,2,22.31,10.01,10.88
6450,from_above,1,1,-19.52,0,0,39.37,39.37,0,0,0,0,-31.05,1,0,39.37,-29.21
6450,from_below,5,5,1.22,21.98,16.14,27.82,3.73,60,80,60,40,3.87,5,40.69,3.73,18.04
6500,from_above,3,3,0.85,10.19,5.73,20.58,25.06,0,66.7,33.3,33.3,-5.33,2,23.77,17.63,22.9
6500,from_below,7,6,1.22,11.39,11.22,9.72,7.14,83.3,83.3,50,16.7,0.24,6,11.46,8.84,6.45
6550,from_above,14,13,1.82,18.56,17.49,8.46,4.05,69.2,100,69.2,46.2,14.04,13,20.1,11.55,11.32
6550,from_below,4,4,-4.09,2.58,0.88,20.74,16.54,0,25,0,0,-14.09,4,0.88,36.11,-25.73
6600,from_above,20,19,0.91,7.52,7.57,11.47,6.23,47.4,63.2,26.3,5.3,0.41,18,8.15,13.03,-4.73
6600,from_below,25,24,3.55,15.65,14.01,8.53,5.7,62.5,79.2,70.8,25,1.93,22,13.5,8.34,0.15
6650,from_above,5,5,4.13,8.96,5.78,14.57,13.96,40,80,20,20,-13.14,5,5.78,18.65,-13.36
6650,from_below,6,6,0.39,14.16,12.76,9.74,4.32,50,83.3,50,33.3,9.71,5,18.65,7.37,9.08
6700,from_above,14,14,0.52,12.55,12.06,9.61,9.2,42.9,78.6,57.1,21.4,-2.04,13,15.2,12.21,-3.58
6700,from_below,12,11,3.17,10.35,8.6,8.82,9.85,45.5,63.6,45.5,0,-0.29,11,10.47,12.93,-3.69
6750,from_above,15,15,2.38,14.1,16.53,9.25,2.89,73.3,86.7,80,20,6.45,14,21.69,2.89,12.32
6750,from_below,7,7,3.53,16.46,11.1,19.92,21.73,42.9,71.4,57.1,28.6,3.99,6,17.78,19.69,-5.02
6800,from_above,9,9,-0.64,22.82,14.83,11.78,13.46,55.6,77.8,66.7,44.4,0.13,8,18.99,11.72,4.81
6800,from_below,18,16,1.44,15.77,17.2,15.41,14.62,56.3,75,62.5,37.5,1.26,14,17.93,28.44,-19.58
6850,from_above,29,29,2.05,15.54,10.48,10.1,9.84,65.5,86.2,51.7,27.6,1.2,27,20.43,8.83,10.39
6850,from_below,22,21,0.78,12.05,6.25,11.67,7.85,52.4,66.7,38.1,19,1.18,20,10.8,13.1,-7.17
6900,from_above,20,19,2.15,9.67,7.75,15.75,12.79,57.9,73.7,31.6,10.5,-2.72,18,9.04,17.49,-3.9
6900,from_below,19,18,2.52,13.26,10.77,6.01,6.28,77.8,77.8,55.6,22.2,1.8,17,17.93,7.85,-2.08
6950,from_above,9,9,1.85,5.15,5.59,11.27,8.87,44.4,55.6,0,0,-1.13,8,7.09,12.64,-0.97
6950,from_below,12,10,1.69,7.71,7.62,8.59,7.19,60,70,40,0,-1.88,10,9.72,10.18,-8.29
7000,from_below,6,6,2.09,8.26,6.46,1.59,0.96,83.3,83.3,16.7,16.7,1.95,6,10.62,2.87,-0.01
