month,approach,event_count,complete_30m_event_count,median_touch_close_response_points,average_favorable_30m_points,median_favorable_30m_points,average_adverse_30m_points,median_adverse_30m_points,dominant_30m_reaction_rate_pct,favorable_5pt_within_30m_rate_pct,favorable_10pt_within_30m_rate_pct,favorable_20pt_within_30m_rate_pct,median_close_move_30m_points,complete_60m_event_count,median_favorable_60m_points,median_adverse_60m_points,median_close_move_60m_points
2026-02,from_above,57,56,2.04,12.24,7.8,12.04,11.41,55.4,75,35.7,16.1,-0.44,51,12.01,11.76,-0.2
2026-02,from_below,49,44,1.5,12.52,10.77,10.76,7.53,63.6,72.7,54.5,20.5,0.8,42,12.83,8.99,-5.63
2026-03,from_above,68,66,1.74,12.62,10.66,11.69,10.44,53,78.8,53,22.7,-1.19,62,14.22,13.48,1.72
2026-03,from_below,70,66,3.03,15.32,12.58,11.81,7.48,59.1,78.8,59.1,27.3,3.78,61,15.98,10.28,-1.47
2026-04,from_above,33,31,1.01,13.48,9.98,8.75,3.43,67.7,80.6,48.4,19.4,7.44,30,13.52,5.22,7.28
2026-04,from_below,42,41,1.93,11.13,6.67,9.24,5.51,51.2,63.4,36.6,12.2,1.14,38,7.45,9.68,-3.63
2026-05,from_above,41,36,1.62,12.91,9.57,5.15,5.23,75,88.9,44.4,16.7,3.92,33,13.4,7.98,3.53
2026-05,from_below,42,39,2.11,9.09,7.23,6.52,4.85,61.5,66.7,33.3,7.7,0.69,37,8.25,8.06,-0.08
2026-06,from_above,75,70,0.77,16.94,12.05,15.2,9.66,55.7,80,55.7,27.1,2.21,64,18.45,14.37,3.36
2026-06,from_below,67,64,1.8,15.24,12.65,12.41,7.73,57.8,76.6,57.8,25,0.43,60,17.35,13.56,0.73
2026-07,from_above,46,41,2.11,10.96,8.03,12.78,9.28,39,68.3,39,17.1,-0.45,39,10.48,13.81,1.91
2026-07,from_below,49,46,2.33,9.39,6.86,9.37,6.3,52.2,71.7,32.6,10.9,-1.13,38,12.32,10.69,-1.42
