level,total_touching_candles,from_above_touching_candles,from_below_touching_candles,continuation_in_zone_candles
6350,7,2,2,3
6400,15,7,3,5
6450,11,1,6,4
6500,42,11,22,9
6550,77,28,19,30
6600,130,43,45,42
6650,51,20,14,17
6700,107,29,39,39
6750,54,28,15,11
6800,71,18,33,20
6850,176,61,54,61
6900,141,43,44,54
6950,104,21,33,50
7000,21,0,11,10
7050,7,2,2,3
7100,70,21,16,33
7150,24,12,6,6
7200,41,12,13,16
7250,50,14,15,21
7300,43,14,18,11
7350,155,68,45,42
7400,214,75,67,72
7450,148,50,54,44
7500,212,69,59,84
7550,154,44,58,52
7600,18,4,6,8
